year;age;catch;catch_weight;smb;stock_weight;maturity;smh;M
1906;13;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;1,00000000000000e+00;NA;0,2
1906;14;0,00000000000000e+00;4000,0000000000000;NA;5213,0000000000000;1,00000000000000e+00;NA;0,2
1906;15;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1906;16;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1906;17;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1906;18;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1906;19;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1906;20;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1906;21;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1906;22;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1907;0;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1907;1;0,00000000000000e+00;4000,0000000000000;NA;37,0000000000000;0,00000000000000e+00;NA;0,2
1907;2;0,00000000000000e+00;4000,0000000000000;NA;185,0000000000000;8,00000000000000e-02;NA;0,2
1907;3;0,00000000000000e+00;4000,0000000000000;NA;481,0000000000000;3,01000000000000e-01;NA;0,2
1907;4;0,00000000000000e+00;4000,0000000000000;NA;910,0000000000000;5,39000000000000e-01;NA;0,2
1907;5;0,00000000000000e+00;4000,0000000000000;NA;1409,0000000000000;7,22000000000000e-01;NA;0,2
1907;6;0,00000000000000e+00;4000,0000000000000;NA;1968,0000000000000;8,21000000000000e-01;NA;0,2
1907;7;0,00000000000000e+00;4000,0000000000000;NA;2496,0000000000000;8,68000000000000e-01;NA;0,2
1907;8;0,00000000000000e+00;4000,0000000000000;NA;3077,0000000000000;9,04000000000000e-01;NA;0,2
1907;9;0,00000000000000e+00;4000,0000000000000;NA;3300,0000000000000;9,63000000000000e-01;NA;0,2
1907;10;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;1,00000000000000e+00;NA;0,2
1907;11;0,00000000000000e+00;4000,0000000000000;NA;5741,0000000000000;1,00000000000000e+00;NA;0,2
1907;12;0,00000000000000e+00;4000,0000000000000;NA;6171,0000000000000;1,00000000000000e+00;NA;0,2
1907;13;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;1,00000000000000e+00;NA;0,2
1907;14;0,00000000000000e+00;4000,0000000000000;NA;5213,0000000000000;1,00000000000000e+00;NA;0,2
1907;15;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1907;16;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1907;17;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1907;18;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1907;19;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1907;20;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1907;21;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1907;22;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1908;0;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1908;1;0,00000000000000e+00;4000,0000000000000;NA;37,0000000000000;0,00000000000000e+00;NA;0,2
1908;2;0,00000000000000e+00;4000,0000000000000;NA;185,0000000000000;8,00000000000000e-02;NA;0,2
1908;3;0,00000000000000e+00;4000,0000000000000;NA;481,0000000000000;3,01000000000000e-01;NA;0,2
1908;4;0,00000000000000e+00;4000,0000000000000;NA;910,0000000000000;5,39000000000000e-01;NA;0,2
1908;5;0,00000000000000e+00;4000,0000000000000;NA;1409,0000000000000;7,22000000000000e-01;NA;0,2
1908;6;0,00000000000000e+00;4000,0000000000000;NA;1968,0000000000000;8,21000000000000e-01;NA;0,2
1908;7;0,00000000000000e+00;4000,0000000000000;NA;2496,0000000000000;8,68000000000000e-01;NA;0,2
1908;8;0,00000000000000e+00;4000,0000000000000;NA;3077,0000000000000;9,04000000000000e-01;NA;0,2
1908;9;0,00000000000000e+00;4000,0000000000000;NA;3300,0000000000000;9,63000000000000e-01;NA;0,2
